更新时间,#genre#
2024-11-16 00:21:37,url
📺央视频道,#genre#
CCTV-1,http://120.55.49.231:8693/rtp/233.50.201.222:5140$浙江电信组播源
CCTV-1,http://123.56.129.203:1385/rtp/225.1.8.1:8008$北京电信组播源
CCTV-1,http://122.9.151.210:7290/rtp/238.255.2.91:5999$贵州电信组播源
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/1.m3u8$订阅源|IPv6
CCTV-1,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226153/index.m3u8$订阅源|IPv6
CCTV-1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y$订阅源|IPv6
CCTV-2,http://123.56.129.203:1385/rtp/225.1.8.2:8084$北京电信组播源
CCTV-2,http://123.56.129.203:1385/rtp/225.1.8.102:8004$北京电信组播源
CCTV-2,http://120.55.49.231:8693/rtp/233.50.201.119:5140$浙江电信组播源
CCTV-2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000502$订阅源|IPv6
CCTV-2,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?$订阅源|IPv6
CCTV-2,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8$订阅源|IPv6
CCTV-2,http://gslbserv.itv.cmvideo.cn/1000000005000265002/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=3$订阅源
CCTV-3,http://123.56.129.203:1385/rtp/225.1.8.88:8000$北京电信组播源
CCTV-3,http://123.56.129.203:1385/rtp/225.1.8.92:8000$北京电信组播源
CCTV-3,http://120.55.49.231:8693/rtp/233.50.201.196:5140$浙江电信组播源
CCTV-3,http://[2409:8087:1a01:df::4041]/TVOD/88888888/224/3221225799/main.m3u8$订阅源|IPv6
CCTV-3,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010212/$订阅源|IPv6
CCTV-3,http://[2409:8087:1a01:df::4041]:80/TVOD/88888888/224/3221225799/main.m3u8$订阅源|IPv6
CCTV-3,http://gslbserv.itv.cmvideo.cn/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3$订阅源
CCTV-4,http://123.56.129.203:1385/rtp/225.1.8.4:8092$北京电信组播源
CCTV-4,http://123.56.129.203:1385/rtp/225.1.8.104:8216$北京电信组播源
CCTV-4,http://120.55.49.231:8693/rtp/233.50.200.101:5140$浙江电信组播源
CCTV-4,http://[2409:8087:2001:20:2800:0:df6e:eb20]:80/PLTV/1/224/3221230948/1.m3u8$订阅源|IPv6
CCTV-4,http://[2409:8087:2001:20:2800:0:df6e:eb21]:80/PLTV/1/224/3221231032/1.m3u8$订阅源|IPv6
CCTV-4,http://gslbserv.itv.cmvideo.cn/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3$订阅源
CCTV-5,http://123.56.129.203:1385/rtp/225.1.8.89:8000$北京电信组播源
CCTV-5,http://123.56.129.203:1385/rtp/225.1.8.93:8000$北京电信组播源
CCTV-5,http://120.55.49.231:8693/rtp/233.50.201.197:5140$浙江电信组播源
CCTV-5,http://gslbserv.itv.cmvideo.cn/1000000005000265005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3$订阅源
CCTV-5+,http://120.55.49.231:8693/rtp/233.50.201.220:5140$浙江电信组播源
CCTV-5+,http://122.9.151.210:7290/rtp/238.255.2.185:5999$贵州电信组播源
CCTV-5+,http://gslbserv.itv.cmvideo.cn/1000000005000265016/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=3$订阅源
CCTV-5+,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010202/$订阅源|IPv6
CCTV-6,http://123.56.129.203:1385/rtp/225.1.8.84:8000$北京电信组播源
CCTV-6,http://123.56.129.203:1385/rtp/225.1.8.90:8000$北京电信组播源
CCTV-6,http://120.55.49.231:8693/rtp/233.50.201.198:5140$浙江电信组播源
CCTV-6,http://gslbserv.itv.cmvideo.cn/1000000005000265006/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265006&livemode=1&stbId=3$订阅源
CCTV-7,http://123.56.129.203:1385/rtp/225.1.8.7:8104$北京电信组播源
CCTV-7,http://123.56.129.203:1385/rtp/225.1.8.107:8024$北京电信组播源
CCTV-7,http://120.55.49.231:8693/rtp/233.50.201.120:5140$浙江电信组播源
CCTV-7,http://gslbserv.itv.cmvideo.cn/1000000005000265007/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=3$订阅源
CCTV-8,http://123.56.129.203:1385/rtp/225.1.8.85:8000$北京电信组播源
CCTV-8,http://123.56.129.203:1385/rtp/225.1.8.91:8000$北京电信组播源
CCTV-8,http://120.55.49.231:8693/rtp/233.50.201.199:5140$浙江电信组播源
CCTV-8,http://[2409:8087:1a01:df::4051]:80/TVOD/88888888/224/3221225795/main.m3u8$订阅源|IPv6
CCTV-8,http://[2409:8087:1a0a:df::4036]:80/wh7f454c46tw1670555715_-98597522/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?icpid=88888888&RTS=1713968499&from=4&hms_devid=1209&online=1713968499&vqe=3$订阅源|IPv6
CCTV-8,http://gslbserv.itv.cmvideo.cn/1000000005000265008/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=3$订阅源
CCTV-9,http://123.56.129.203:1385/rtp/225.1.8.9:8112$北京电信组播源
CCTV-9,http://123.56.129.203:1385/rtp/225.1.8.109:8032$北京电信组播源
CCTV-9,http://120.55.49.231:8693/rtp/233.50.201.121:5140$浙江电信组播源
CCTV-9,http://gslbserv.itv.cmvideo.cn/1000000005000265009/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=3$订阅源
CCTV-10,http://123.56.129.203:1385/rtp/225.1.8.10:8116$北京电信组播源
CCTV-10,http://123.56.129.203:1385/rtp/225.1.8.110:8228$北京电信组播源
